OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,ReportingPeriodType,Period,GeoEntityName,GeoCode,GeoName,GeoURI,HholdWasteCollectedPerPersonKg,HholdWasteRecycledPercentage
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2018-04-01T00:00:00,2019-03-31T23:59:59,TRUE,Financial Year,2018-2019,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,455.3,41.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2018-04-01T00:00:00,2019-03-31T23:59:59,TRUE,Financial Year,2018-2019,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,395.7,33.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2018-04-01T00:00:00,2019-03-31T23:59:59,TRUE,Financial Year,2018-2019,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,377.1,38.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2018-04-01T00:00:00,2019-03-31T23:59:59,TRUE,Financial Year,2018-2019,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,356.5,33.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2018-04-01T00:00:00,2019-03-31T23:59:59,TRUE,Financial Year,2018-2019,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,403.1,42.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2018-04-01T00:00:00,2019-03-31T23:59:59,TRUE,Financial Year,2018-2019,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,331.3,25.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2018-04-01T00:00:00,2019-03-31T23:59:59,TRUE,Financial Year,2018-2019,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,375,39.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2018-04-01T00:00:00,2019-03-31T23:59:59,TRUE,Financial Year,2018-2019,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,406.8,41
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2017-04-01T00:00:00,2018-03-31T23:59:59,,Financial Year,2017-2018,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,460.5,43.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2017-04-01T00:00:00,2018-03-31T23:59:59,,Financial Year,2017-2018,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,394.9,35.2
