"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","45.10 %","Percentage","2010/2011","2010-04-01","2011-03-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","46.41 %","Percentage","2011/2012","2011-04-01","2012-03-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","45.96 %","Percentage","2012/2013","2012-04-01","2013-03-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","43.63 %","Percentage","2013/2014","2013-04-01","2014-03-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","42.50 %","Percentage","2014/2015","2014-04-01","2015-03-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","48.38 %","Percentage","2015/2016_Q1","2015-04-01","2015-06-30","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","42.85 %","Percentage","2015/2016","2015-04-01","2016-03-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","47.14 %","Percentage","2015/2016_Q2","2015-07-01","2015-09-30","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","40.35 %","Percentage","2015/2016_Q3","2015-10-01","2015-12-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","33.78 %","Percentage","2015/2016_Q4","2016-01-01","2016-03-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","48.30 %","Percentage","2016/2017_Q1","2016-04-01","2016-06-30","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","42.50 %","Percentage","2016/2017","2016-04-01","2017-03-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","47.70 %","Percentage","2016/2017_Q2","2016-07-01","2016-09-30","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","38.30 %","Percentage","2016/2017_Q3","2016-10-01","2016-12-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","32.80 %","Percentage","2016/2017_Q4","2017-01-01","2017-03-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","44.86 %","Percentage","2017/2018","2017-04-01","2018-03-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","48.90 %","Percentage","2017/2018_Q1","2017-04-01","2017-06-30","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","49.10 %","Percentage","2017/2018_Q2","2017-07-01","2017-09-30","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","41.80 %","Percentage","2017/2018_Q3","2017-10-01","2017-12-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","37.30 %","Percentage","2017/2018_Q4","2018-01-01","2018-03-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","43.60 %","Percentage","2018/2019","2018-04-01","2019-03-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","44.73 %","Percentage","2018/2019_Q1","2018-04-01","2018-06-30","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","46.59 %","Percentage","2018/2019_Q2","2018-07-01","2018-09-30","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","43.59 %","Percentage","2018/2019_Q3","2018-10-01","2018-12-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","37.63 %","Percentage","2018/2019_Q4","2019-01-01","2019-03-31","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","56.30 %","Percentage","2019/2020_Q1","2019-04-01","2019-06-30","Quarterly"
"CES36","Percentage of household waste sent for reuse, recycling or composting (DEFRA)","56.14 %","Percentage","2019/2020_Q2","2019-07-01","2019-09-30","Quarterly"
